potěr,fry [fraɪ]
řezivo,lumber [ˈlʌm.bɚ]
paní,madam [ˈmæd.əm]
manželský,marital [ˈmer.ɪ.t̬əl]
zástup,multitude [ˈmʌl.tə.tuːd]
múza,muse [mjuːz]
chůva,nanny [ˈnæn.i]
devatenáct,nineteen [ˌnaɪnˈtiːn]
bradavka,nipple [ˈnɪp.l̩]
jádro,nucleus [ˈnuː.kli.əs]
orbitální,orbital [ˈɔːr.bɪ.t̬əl]
organismus,organism [ˈɔːr-]
odchozí,outgoing [ˈaʊt.ɡoʊ.ɪŋ]
Oprava,overhaul [oʊ.vɚˈhɑːl]
patriotismus,patriotism [ˈpeɪ.tri.ə.tɪ.zəm]
pravidelně,periodically [ˌpɪr.iˈɑː.dɪ.kəl.i]
instalatérství,plumbing [ˈplʌm.ɪŋ]
mák,poppy [ˈpɑː.pi]
opatření,precaution [prɪˈkɑː.ʃən]
připravenost,readiness [ˈred.i.nəs]
redundantní,redundant [rɪˈdʌn.dənt]
podobnost,resemblance [rɪˈzem.bləns]
kázání,sermon [ˈsɝː.mən]
štíhlý,slender [ˈslen.dɚ]
nedbalý,sloppy [ˈslɑː.pi]
společenské,societal [səˈsaɪ.ə.t̬əl]
specifikace,spec [spek]
houba,sponge [spʌndʒ]
zelenáč,sucker [ˈsʌk.ɚ]
nadřazenost,superiority [səˌpɪr.iˈɔːr.ə.t̬i]
dohlížet,supervise [ˈsuː.pɚ.vaɪz]
vtipálek,tease [tiːz]
titánský,titanic [taɪˈtæn.ɪk]
vysílač,transmitter [trænsˈmɪt̬.ɚ]
tajfun,typhoon [taɪˈfuːn]
neskutečný,unreal [ʌnˈriːl]
očkování,vaccination [ˌvæk.səˈneɪ.ʃən]
vibrace,vibration [vaɪˈbreɪ.ʃən]
válečný,wartime [ˈwɔːr.taɪm]
břišní,abdominal [æbˈdɑː.mə.nəl]
vysílání,airing [ˈer.ɪŋ]
hlasatel,announcer [əˈnaʊn.sɚ]
Baba,baba [ˈbæb.ə]
pozadí,backdrop [-klɑːθ]
Beau,beau [boʊ]
zatemnění,blackout [ˈblæk.aʊt]
blufovat,bluff [blʌf]
kartel,cartel [kɑːrˈtel]
katastrofální,catastrophic [ˌkæt̬.əˈstrɑː.fɪk]
výbor,caucus [ˈkɑː.kəs]
dřevěné uhlí,charcoal [ˈtʃɑːr.koʊl]
sýrový,cheesy [ˈtʃiː.zi]
sloupkař,columnist [ˈkɑː.ləm.nɪst]
pravomoc,competence [ˈkɑːm.pə.t̬əns]
soustrast,condolence [kənˈdoʊ.ləns]
nakažlivý,contagious [kənˈteɪ.dʒəs]
výhodně,conveniently [kənˈviː.ni.ənt.li]
soudní síň,courtroom [ˈkɔːrt.ruːm]
polštář,cushion [ˈkʊʃ.ən]
diktovat,dictate [ˈdɪk.teɪt]
kolej,dorm [dɔːrm]
odkapávat,drip [drɪp]
potrubí,duct [dʌkt]
výstřední,eccentric [ɪkˈsen.trɪk]
elektromagnetický,electromagnetic [ɪˌlek.troʊ.mæɡˈnet̬.ɪk]
symbol,emblem [ˈem.bləm]
fašismus,fascism [ˈfæʃ.ɪ.zəm]
Strach,fearful [ˈfɪr.fəl]
slavnostní,festive [ˈfes.tɪv]
předák,foreman [ˈfɔːr.mən]
nesprávný,improper [ɪmˈprɑː.pɚ]
příliv,influx [ˈɪn.flʌks]
splátka,installment [ɪnˈstɑːl.mənt]
jádro,kernel [ˈkɝː.nəl]
spojení,liaison [liˈeɪ.zɑːn]
mozaika,mosaic [moʊˈzeɪ.ɪk]
mustang,mustang [ˈmʌs.tæŋ]
nuzný,needy [ˈniː.di]
sirotek,orphan [ˈɔːr.fən]
Patty,patty [ˈpæt̬.i]
ananas,pineapple [ˈpaɪnˌæp.əl]
žalobce,plaintiff [ˈpleɪn.t̬ɪf]
draslík,potassium [pəˈtæs.i.əm]
neocenitelný,priceless [ˈpraɪs.ləs]
prostitutka,prostitute [ˈprɑː.stə.tuːt]
pobřeží,seaside [ˈsiː.saɪd]
šampon,shampoo [ʃæmˈpuː]
tiše,silently [ˈsaɪ.lənt.li]
schodiště,staircase [ˈster.keɪs]
steroid,steroid [ˈster.ɔɪd]
výpad,swipe [swaɪp]
Tang,tang [tæŋ]
tolerantní,tolerant [ˈtɑː.lɚ.ənt]
toxicita,toxicity [tɑːkˈsɪs.ə.t̬i]
trubka,trumpet [ˈtrʌm.pət]
tuberkulóza,tuberculosis [tuːˌbɝː.kjəˈloʊ.sɪs]
ochotně,willingly [ˈwɪl.ɪŋ.li]
mladistvý,youthful [ˈjuːθ.fəl]
přidržet,adhere [ədˈhɪr]
kladný,affirmative [əˈfɝː.mə.t̬ɪv]
dvojznačný,ambiguous [æmˈbɪɡ.ju.əs]
archeologie,archaeology [ˌɑːr.kiˈɑː.lə.dʒi]
osel,arse [Výskyt nenalezen]
pitva,autopsy [ˈɑː.tɑːp.si]
Blitz,blitz [blɪts]
blokáda,blockade [blɑːˈkeɪd]
jas,brightness [ˈbraɪt.nəs]
kazeta,cartridge [ˈkɑːr.trɪdʒ]
pokladní,cashier [kæʃˈɪr]
doutník,cigar [səˈɡɑːr]
circa,circa [ˈsɝː.kə]
plášť,cloak [kloʊk]
spalování,combustion [kəmˈbʌs.tʃən]
chápání,comprehension [ˌkɑːm.prəˈhen.ʃən]
půlměsíc,crescent [ˈkres·ənt]
vadný,defective [dɪˈfek.tɪv]
deportace,deportation [ˌdiː.pɔːrˈteɪ.ʃən]
odradit,discourage [dɪˈskɝː.ɪdʒ]
jednorázové,disposable [dɪˈspoʊ.zə.bəl]
zoufalý,distressed [dɪˈstrest]
žalář,dungeon [ˈdʌn.dʒən]
podnikání,entrepreneurship [ˌɑːn.trə.prəˈnɝː.ʃɪp]
ohnivý,fiery [ˈfaɪə.ri]
finalista,finalist [ˈfaɪ.nəl.ɪst]
Flux,flux [flʌks]
Goofy,goofy [ˈɡuː.fi]
rukopis,handwriting [ˈhændˌraɪ.t̬ɪŋ]
hádka,hassle [ˈhæs.əl]
sekýrovat,hector [ˈhek.tɚ]
balík,hick [hɪk]
prase,hog [hɑːɡ]
Majitel domu,homeowner [ˈhoʊmˌoʊ.nɚ]
nesmírně,immensely [ɪˈmens.li]
indikativní,indicative [ɪnˈdɪk.ə.t̬ɪv]
levný,inexpensive [ˌɪn.ɪkˈspen.sɪv]
zachycení,intercept [ˌɪn.t̬ɚˈsept]
intuitivní,intuitive [ɪnˈtuː.ɪ.t̬ɪv]
žokej,jockey [ˈdʒɑː.ki]
rozjařený,jolly [ˈdʒɑː.li]
zeměpisná šířka,latitude [ˈlæt̬.ə.tuːd]
Libertarián,libertarian [ˌlɪb.ɚˈter.i.ən]
majestátní,majestic [məˈdʒes.tɪk]
mistrovství,mastery [ˈmæs.tɚ.i]
metropole,metropolis [məˈtrɑː.pəl.ɪs]
mumie,mummy [ˈmʌm.i]
ovocný sad,orchard [ˈɔːr.tʃɚd]
předávkovat,overdose [ˈoʊ.vɚ.doʊs]
patologie,pathology [pəˈθɑː.lə.dʒi]
jedovatý,poisonous [ˈpɔɪ.zən.əs]
průvod,procession [prəˈseʃ.ən]
očistit,purge [pɝːdʒ]
přemístění,relocation [ˌriː.loʊˈkeɪ.ʃən]
Rhino,rhino [ˈraɪ.noʊ]
Rosemary,rosemary [ˈroʊz.mer.i]
pískovec,sandstone [ˈsænd.stoʊn]
kanalizace,sanitation [ˌsæn.əˈteɪ.ʃən]
vyhovující,satisfactory [ˌsæt̬.ɪsˈfæk.tɚ.i]
skútr,scooter [ˈskuː.t̬ɚ]
tajemství,secrecy [ˈsiː.krə.si]
hanebný,shameful [ˈʃeɪm.fəl]
zlatíčko,sweetie [ˈswiː.t̬i]
transformátor,transformer [trænsˈfɔːr.mɚ]
neoprávněný,unauthorized [ʌnˈɑː.θə.raɪzd]
Undo,undo [ʌnˈduː]
nejmenované,unnamed [ʌnˈneɪmd]
znepokojující,upsetting [ʌpˈset̬.ɪŋ]
jed,venom [ˈvenəm]
vítězný,victorious [vɪkˈtɔːr.i.əs]
opatrný,wary [ˈwer.i]
zalévání,watering [ˈwɑː.t̬ɚ]
wellness,wellness [ˈwel.nəs]
větrný,windy [ˈwɪn.di]
Winger,winger [ˈwɪŋ.ɚ]
mladík,youngster [ˈjʌŋ.stɚ]
břicho,abdomen [ˈæb.də.mən]
unést,abduct [æbˈdʌkt]
náhle,abruptly [əˈbrʌpt.li]
aha,aha [ɑːˈhɑː]
uprostřed,amidst [əˈmɪd]
akvárium,aquarium [əˈkwer.i.əm]
Aspire,aspire [/kəˈlæb.ə.reɪt/]
asteroid,asteroid [ˈæs.tə.rɔɪd]
těsto,batter [ˈbæt̬.ɚ]
před spaním,bedtime [ˈbed.taɪm]
zrudnout,blush [blʌʃ]
posilovač,booster [ˈbuː.stɚ]
drdol,bun [bʌn]
kalkulačka,calculator [ˈkæl.kjə.leɪ.t̬ɚ]
klidně,calmly [ˈkɑːm.li]
zajetí,captivity [kæpˈtɪv.ə.t̬i]
katastrofa,catastrophe [kəˈtæs.trə.fi]
chemoterapie,chemotherapy [ˌkiː.moʊˈθer.ə.pi]
obíhat,circulate [ˈsɝː.kjə.leɪt]
čištění,cleansing [ˈklen.zɪŋ]
dojíždět,commute [kəˈmjuːt]
komplementární,complementary [ˌkɑːm.pləˈmen.t̬ɚ.i]
otřes mozku,concussion [kənˈkʌʃ.ən]
připojení,connectivity [ˌkɑː.nekˈtɪv.ə.t̬i]
konzulát,consulate [ˈkɑːn.sjə.lət]
touha,craving [ˈkreɪ.vɪŋ]
kulinářský,culinary [ˈkʌl.ə.ner.i]
rámus,din [dɪn]
diskrétní,discrete [dɪˈskriːt]
maskované,disguised [dɪsˈɡaɪzd]
nesouhlasit,dissent [dɪˈsent]
přední,eminent [ˈem.ə.nənt]
šifrování,encryption [ɪnˈkrip.ʃən]
usilovat,endeavor [enˈdev.ɚ]
nadšenec,enthusiast [ɪnˈθuː.zi.æst]
filtrování,filtering [ˈfɪl.tɚ]
Flop,flop [flɑːp]
bratrství,fraternity [frəˈtɝː.nə.t̬i]
srstnatý,furry [ˈfɝː.i]
lesk,glitter [ˈɡlɪt̬.ɚ]
hřbitov,graveyard [ˈɡreɪv.jɑːrd]
strádání,hardship [ˈhɑːrd.ʃɪp]
slepice,hen [hen]
vyvolat,induce [ɪnˈduːs]
nejistota,insecurity [ˌɪn.səˈkjʊr.ə.t̬i]
výslech,interrogation [ɪnˌter.əˈɡeɪ.ʃən]
zastrašit,intimidate [ɪnˈtɪm.ə.deɪt]
iracionální,irrational [ɪˈræʃ.ən.əl]
hlávkový salát,lettuce [ˈlet̬.ɪs]
lukrativní,lucrative [ˈluː.krə.t̬ɪv]
Manažer,managerial [ˌmæn.əˈdʒɪr.i.əl]
mango,mango [ˈmæŋ.ɡoʊ]
Milo,milo [ˈmaɪ.loʊ]
Mister,mister [ˈmɪs.tɚ]
mírně,moderately [ˈmɑː.dɚ.ət.li]
podivně,oddly [ˈɑːd.li]
utlačovat,oppress [əˈpres]
Outsider,outsider [ˌaʊtˈsaɪ.dɚ]
pohanský,pagan [ˈpeɪ.ɡən]
planetární,planetary [ˈplæn.ɪ.ter.i]
playboy,playboy [ˈpleɪ.bɔɪ]
porcelán,porcelain [ˈpɔːr.səl.ɪn]
programátor,programmer [ˈproʊ.ɡræm.ɚ]
Promotor,promoter [prəˈmoʊ.t̬ɚ]
žalm,psalm [sɑːm]
psychiatrie,psychiatry [saɪˈkaɪə.tri]
podle,pursuant [pɚˈsuː.ənt]
recyklovat,recycle [ˌriːˈsaɪ.kəl]
renovovat,renovate [ˈren.ə.veɪt]
opakující se,repetitive [rɪˈpet̬.ə.t̬ɪv]
obrácení,reversal [rɪˈvɝː.səl]
rým,rhyme [raɪm]
litovat,rue [ruː]
důvtipný,savvy [ˈsæv.i]
skener,scanner [ˈskæn.ɚ]
schizofrenie,schizophrenia [ˌskɪt.səˈfriː.ni.ə]
vážnost,seriousness [ˈsɪr.i.əs.nəs]
jiskra,sparkle [ˈspɑːr.kəl]
SPREE,spree [spriː]
zúčastněná strana,stakeholder [ˈsteɪkˌhoʊl.dɚ]
dotace,subsidy [ˈsʌb.sə.di]
sup,sup [sʌp]
povrchní,superficial [ˌsuː.pɚˈfɪʃ.əl]
zpocený,sweaty [ˈswet̬.i]
krotký,tame [teɪm]
koželuh,tanner [ˈtæn.ɚ]
Thug,thug [θʌɡ]
poleva,topping [ˈtɑː.pɪŋ]
proti proudu,upstream [ˌʌpˈstriːm]
pára,vapor [ˈveɪ.pɚ]
servírka,waitress [ˈweɪ.trəs]
vlašský ořech,walnut [ˈwɑːl.nʌt]
nábřeží,waterfront [ˈwɑː.t̬ɚ.frʌnt]
vtipný,witty [ˈwɪt̬.i]
vazba,weave [wiːv]
známost,acquaintance [əˈkweɪn.təns]
přepadení,ambush [ˈæm.bʊʃ]
arogance,arrogance [ˈer.ə.ɡəns]
křest,baptism [ˈbæp.tɪ.zəm]
bloke,bloke [bloʊk]
rozmazat,blur [blɝː]
střevo,bowel [ˈbaʊ.əl]
obočí,brow [braʊ]
byrokracie,bureaucracy [bjʊˈrɑː.krə.si]
zajistit,cater [ˈkeɪ.t̬ɚ]
komín,chimney [ˈtʃɪm.ni]
zataženo,cloudy [ˈklaʊ.di]
soucitný,compassionate [kəmˈpæʃ.ən.ət]
konvertibilní,convertible [kənˈvɝː.t̬ə.bəl]
kráter,crater [ˈkreɪ.t̬ɚ]
kumulativní,cumulative [ˈkjuː.mjə.lə.t̬ɪv]
kurátor,curator [kjʊˈreɪ.t̬ɚ]
božstvo,deity [ˈdiː.ə.t̬i]
zoufalství,desperation [ˌdes.pəˈreɪ.ʃən]
škodlivý,detrimental [ˌdet.rəˈmen.t̬əl]
průjem,diarrhea [ˌdaɪ.əˈriː.ə]
zlikvidovat,dispose [dɪˈspoʊz]
zkreslení,distortion [dɪˈstɔːr.ʃən]
doktorský,doctoral [ˈdɑːk.tɚ.əl]
nárok,entitlement [ɪnˈtaɪ.t̬əl.mənt]
nebojácný,fearless [ˈfɪr.ləs]
pěnkava,finch [fɪntʃ]
gangster,gangster [ˈɡæŋ.stɚ]
Garner,garner [ˈɡɑːr.nɚ]
Prozradí,giveaway [ˈɡɪv.əˌweɪ]
Cikán,gypsy [ˈdʒɪp.si]
obtěžovat,harass [həˈræs]
ohřívač,heater [ˈhiː.t̬ɚ]
váhání,hesitation [ˌhez.əˈteɪ.ʃən]
ponížení,humiliation [hjuːˌmɪl.iˈeɪ.ʃən]
Poškození,impairment [ɪmˈper.mənt]
netrpělivý,impatient [ɪmˈpeɪ.ʃənt]
složitý,intricate [ˈɪn.trə.kət]
karate,karate [kəˈrɑː.t̬i]
papírový drak,kite [kaɪt]
maják,lighthouse [ˈlaɪt.haʊs]
dlouhověkost,longevity [lɑːnˈdʒev.ə.t̬i]
Lore,lore [lɔːr]
bujný,lush [lʌʃ]
Luxusní,luxurious [lʌɡˈʒʊr.i.əs]
mal,mal [mæl-]
kaše,mash [mæʃ]
meteor,meteor [ˈmiː.t̬i.ɔːr]
ministerský,ministerial [ˌmɪn.əˈstɪr.i.əl]
mystický,mystical [ˈmɪs.tɪ.kəl]
Nu,nu [nuː]
obstrukce,obstruction [əbˈstrʌk.ʃən]
se,oneself [ˌwʌnˈself]
proniknout,penetrate [ˈpen.ə.treɪt]
plánovač,planner [ˈplæn.ɚ]
švestka,plum [plʌm]
množný,plural [ˈplʊr.əl]
Puff,puff [pʌf]
slovní hříčka,pun [pʌn]
hadr,rag [ræɡ]
Raj,raj [rɑːdʒ]
Rampant,rampant [ˈræm.pənt]
replikujte,replicate [ˈrep.lɪ.keɪt]
odplata,retaliation [rɪˌtæl.iˈeɪ.ʃən]
Ochrana,safeguard [ˈseɪf.ɡɑːrd]
sedan,sedan [səˈdæn]
Odpadní voda,sewage [ˈsuː.ɪdʒ]
zákazník,shopper [ˈʃɑː.pɚ]
slang,slang [slæŋ]
spoiler,spoiler [ˈspɔɪ.lɚ]
kufr,suitcase [ˈsuːt.keɪs]
hospoda,tavern [ˈtæv.ɚn]
škádlení,teasing [tiːz]
telegram,telegram [ˈtel.ə.ɡræm]
titan,titanium [taɪˈteɪ.ni.əm]
turbulence,turbulence [ˈtɝː.bjə.ləns]
nerovný,uneven [ʌnˈiː.vən]
naléhavost,urgency [ˈɝː.dʒən.si]
výrobky,ware [wer]
vodotěsný,waterproof [ˈwɑː.t̬ɚ.pruːf]
kňučet,whine [waɪn]
báječně,wonderfully [ˈwʌn.dɚ.fəl.i]
formulace,wording [ˈwɝː.dɪŋ]
akreditace,accreditation [əˌkred.əˈteɪ.ʃən]
nesporně,admittedly [ədˈmɪt̬.ɪd.li]
řasy,algae [ˈæl.dʒiː]
změna,alteration [ˌɑːl.t̬əˈreɪ.ʃən]
Apache,apache [əˈpætʃ.i]
artikulovat,articulate [ɑːrˈtɪk.jə.lət]
azbest,asbestos [æsˈbes.tɑːs]
vyhýbání se,avoidance [əˈvɔɪ.dəns]
ložisko,bearing [ˈber.ɪŋ]
sládek,brewer [ˈbruː.ɚ]
bufet,buffet [bəˈfeɪ]
hořák,burner [ˈbɝː.nɚ]
chytač,catcher [ˈketʃ.ɚ]
podvozek,chassis [ˈtʃæs.i]
fuška,chore [tʃɔːr]
tleskat,clap [klæp]
vyjasnění,clarification [ˌkler.ə.fəˈkeɪ.ʃən]
útěcha,consolation [ˌkɑːn.səˈleɪ.ʃən]
dýka,dagger [ˈdæɡ.ɚ]
jednání,dealing [ˈdiː.lɪŋ]
odložit,defer [dɪˈfɝː]
popisný,descriptive [dɪˈskrɪp.t̬ɪv]
dialekt,dialect [ˈdaɪ.ə.lekt]
Dolly,dolly [ˈdɑː.li]
pád,downfall [ˈdaʊn.fɑːl]
nevýhodou,downside [ˈdaʊn.saɪd]
Dunk,dunk [dʌŋk]
zmocnění,empowerment [ɪmˈpaʊ.ɚ.mənt]
vyplývat,ensue [ɪnˈsuː]
vyprší,expire [ɪkˈspaɪr]
krb,fireplace [ˈfaɪr.pleɪs]
Flair,flair [fler]
uprchlík,fugitive [ˈfjuː.dʒə.t̬ɪv]
líska,hazel [ˈheɪ.zəl]
sluchátka,headset [ˈhed.set]
překážka,hurdle [ˈhɝː.dəl]
ledový,icy [ˈaɪ.si]
Dopřejte si,indulge [ɪnˈdʌldʒ]
nápis,inscription [ɪnˈskrɪp.ʃən]
tlumočník,interpreter [ɪnˈtɝː.prə.t̬ɚ]
intuice,intuition [ˌɪn.tuːˈɪʃ.ən]
neocenitelný,invaluable [ɪnˈvæl.jə.bəl]
konvice,kettle [ˈket̬.əl]
laxní,lax [læks]
aby,lest [lest]
hrozba,menace [ˈmen.əs]
metan,methane [ˈmiː.θeɪn]
zneužít,misuse [ˌmɪsˈjuːz]
zmírnit,mitigate [ˈmɪt̬.ə.ɡeɪt]
nevolnost,nausea [ˈnɑː.ʒə]
neurologický,neurological [ˌnʊr.əˈlɑː.dʒɪ.kəl]
optimální,optimum [ˈɑːp.tə.məm]
ohromně,overwhelmingly [ˌoʊ.vɚˈwel.mɪŋ.li]
ústřice,oyster [ˈɔɪ.stɚ]
pastorální,pastoral [ˈpæs.tɚ.əl]
hrášek,pea [piː]
fyziologický,physiological [ˌfɪz.i.əˈlɑː.dʒɪ.kəl]
drůbež,poultry [ˈpoʊl.tri]
výtečnost,prominence [ˈprɑː.mə.nəns]
kvartet,quartet [kwɔːrˈtet]
radikálně,radically [ˈræd.ɪ.kəl.i]
reaktivní,reactive [riˈæk.tɪv]
přejmenovat,rename [ˌriːˈneɪm]
restriktivní,restrictive [rɪˈstrɪk.tɪv]
scénář,screenplay [ˈskriːn.pleɪ]
sekta,sect [sekt]
seismické,seismic [ˈsaɪz.mɪk]
seminář,seminary [ˈsem.ɪ.ner.i]
bokem,sideways [ˈsaɪd.weɪz]
kapitán,skipper [ˈskɪp.ɚ]
pašování,smuggling [ˈsmʌɡ.lɪŋ]
skrýš,stash [stæʃ]
procházka,stroll [stroʊl]
transkripce,transcription [trænˈskrɪp.ʃən]
jednorožec,unicorn [ˈjuː.nɪ.kɔːrn]
jedinečně,uniquely [juːˈniːk.li]
nerealistické,unrealistic [ˌʌn.riː.əˈlɪs.tɪk]
váza,vase [veɪs]
DPH,vat [væt]
vinice,vineyard [ˈvɪn.jɚd]
Viola,viola [viˈoʊ.lə]
vodopád,waterfall [ˈwɑː.t̬ɚ.fɑːl]
tkaní,weaving [ˈwiː.vɪŋ]
svařování,welding [ˈwel.dɪŋ]
báječný,yummy [ˈjʌm.i]
Adobe,adobe [əˈdoʊ.bi]
mandle,almond [ˈɑːl.mənd]
vybavení,amenity [əˈmen.ə.t̬i]
bavit,amuse [əˈmjuːz]
Antarktida,antarctica [ænˈtɑːrk.tɪ.kə]
asfalt,asphalt [ˈæs.fɑːlt]
páteř,backbone [ˈbæk.boʊn]
brouk,beetle [ˈbiː.t̬əl]
blizard,blizzard [ˈblɪz.ɚd]
Bolívie,bolivia [bəˈlɪv.i.ə]
brožur,booklet [ˈbʊk.lət]
hádka,brawl [brɑːl]
